competition_id
europa-league
europa-league-qualifikation
serie-a
italy-cup
supercoppa-italiana
uefa-champions-league-qualifikation
uefa-champions-league
dfb-pokal
dfl-supercup
bundesliga
premier-league
fa-cup
community-shield
copa-del-rey
laliga
fifa-klub-wm
ligue-1
super-lig
eredivisie
toto-knvb-beker
superligaen
sydbank-pokalen
trophee-des-champions
premier-liga
russian-super-cup
super-league-1
kypello-elladas
russian-cup
uefa-super-cup
scottish-premiership
allianz-cup
jupiler-pro-league
sfa-cup
liga-portugal-bwin
belgian-supercup
johan-cruijff-schaal
ukrainian-cup
supercopa
supertaca-candido-de-oliveira
ukrainian-super-cup
uefa-europa-conference-league-qualifikation
efl-cup
